,name,description,link
0,TheAlgorithms/Python,All Algorithms implemented in Python,https://github.com/TheAlgorithms/Python
1,geekcomputers/Python,My Python Examples,https://github.com/geekcomputers/Python
2,injetlee/Python,Python脚本。模拟登录知乎， 爬虫，操作excel，微信公众号，远程开机,https://github.com/injetlee/Python
3,kubernetes-client/python,Official Python client library for kubernetes,https://github.com/kubernetes-client/python
4,Show-Me-the-Code/python,Show Me the Code Python version.,https://github.com/Show-Me-the-Code/python
5,xxg1413/python,Python Books && Courses,https://github.com/xxg1413/python
6,jakevdp/PythonDataScienceHandbook,Python Data Science Handbook: full text in Jupyter Notebooks,https://github.com/jakevdp/PythonDataScienceHandbook
7,joeyajames/Python,Python code for YouTube videos.,https://github.com/joeyajames/Python
8,docker-library/python,Docker Official Image packaging for Python,https://github.com/docker-library/python
9,exercism/python,Exercism exercises in Python.,https://github.com/exercism/python
